인덱스,발화,장소,난이도
1,좀 주방으로 가줘 싶네,kitchen,direct
2,음 간식 먹고 싶다 싶네,kitchen,indirect
3,지금 오늘은 직접 해볼까 조금,kitchen,ambiguous
4,아 TV 있는 데로 이동해 조금 같은데,living room,direct
5,아 편하게 기대고 싶어 싶네,living room,indirect
6,오늘 가볍게 쉬고 싶다,living room,ambiguous
7,갑자기 침대 앞으로 가,bedroom,direct
8,아 이불 덮고 싶어 약간,bedroom,indirect
9,오늘 생각 정리 좀 하고 싶네 왠지 해야겠다,bedroom,ambiguous
10,갑자기 스트레칭할 공간으로 가고 싶어 좀,exercise,direct
11,갑자기 체력이 떨어진 느낌이야 약간 같은데,exercise,indirect
12,오늘 활력이 필요하다 왠지 싶네,exercise,ambiguous
13,갑자기 냉장고 앞으로 가 왠지 싶네,kitchen,direct
14,컵라면이라도 먹을까 약간.,kitchen,indirect
15,좀 뭔가 찾고 싶네 약간 같은데,kitchen,ambiguous
16,오늘 거실로 안내해 해야겠다,living room,direct
17,지금 소파에 눕고 싶다 ㅠㅠ,living room,indirect
18,음 편한 데 가고 싶어 조금,living room,ambiguous
19,혹시 침대 앞으로 가 진짜,bedroom,direct
20,갑자기 몸이 너무 피곤하다 약간 해야겠다,bedroom,indirect
21,아 조용한 데 가고 싶다 왠지 해야겠다,bedroom,ambiguous
22,갑자기 운동할 수 있는 곳으로 가,exercise,direct
23,갑자기 스트레칭하고 싶다 약간,exercise,indirect
24,지금 조금 활동하고 싶네 조금 싶네,exercise,ambiguous
25,요리하는 공간으로 가줘.,kitchen,direct
26,지금 뭔가 만들어 먹고 싶네.,kitchen,indirect
27,가볍게 뭐라도 하고 싶다 왠지 싶네,kitchen,ambiguous
28,오늘 소파 있는 곳으로 가 같은데,living room,direct
29,갑자기 드라마 보고 싶다 같은데,living room,indirect
30,지금 잠깐 머리 식히고 싶네!,living room,ambiguous
31,음 내 방으로 이동해 약간 같은데,bedroom,direct
32,음 잠 좀 자고 싶네 싶네,bedroom,indirect
33,좀 오늘은 쉬어야겠다 약간 좀,bedroom,ambiguous
34,지금 운동할 수 있는 곳으로 가 약간 같은데,exercise,direct
35,음 활동적으로 움직이고 싶다 약간 싶네,exercise,indirect
36,움직여야 할 것 같아 약간 해야겠다,exercise,ambiguous
37,지금 주방으로 가줘 진짜 해야겠다,kitchen,direct
38,오늘 간식 먹고 싶다!,kitchen,indirect
39,지금 오늘은 직접 해볼까 왠지!,kitchen,ambiguous
40,음 거실로 안내해 왠지 같은데,living room,direct
41,지금 편하게 기대고 싶어 좀,living room,indirect
